system:time_start,LST_Day_1km
"Jan 1, 2020",35.211
"Jan 2, 2020",30.37
"Jan 3, 2020",
"Jan 4, 2020",
"Jan 5, 2020",29.902
"Jan 6, 2020",29.59
"Jan 7, 2020",
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",26.14
"Jan 11, 2020",
"Jan 12, 2020",26.11
"Jan 13, 2020",22.85
"Jan 14, 2020",27.559
"Jan 15, 2020",30.3
"Jan 16, 2020",33.974
"Jan 17, 2020",
"Jan 18, 2020",24.855
"Jan 19, 2020",33.089
"Jan 20, 2020",
"Jan 21, 2020",30.561
"Jan 22, 2020",
"Jan 23, 2020",
"Jan 24, 2020",20.97
"Jan 25, 2020",29.208
"Jan 26, 2020",35.287
"Jan 27, 2020",
"Jan 28, 2020",37.175
"Jan 29, 2020",
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",
"Feb 3, 2020",
"Feb 4, 2020",
"Feb 5, 2020",
"Feb 6, 2020",29.05
"Feb 7, 2020",20.51
"Feb 8, 2020",
"Feb 9, 2020",23.93
"Feb 10, 2020",
"Feb 11, 2020",27.065
"Feb 12, 2020",26.765
"Feb 13, 2020",32.028
"Feb 14, 2020",
"Feb 15, 2020",33.852
"Feb 16, 2020",33.97
"Feb 17, 2020",33.782
"Feb 18, 2020",32.652
"Feb 19, 2020",33.83
"Feb 20, 2020",28.026
"Feb 21, 2020",
"Feb 22, 2020",29.161
"Feb 23, 2020",26.03
"Feb 24, 2020",
"Feb 25, 2020",
"Feb 26, 2020",
"Feb 27, 2020",28.519
"Feb 28, 2020",26.08
"Feb 29, 2020",31.462
"Mar 1, 2020",27.514
"Mar 2, 2020",28.897
"Mar 3, 2020",27.413
"Mar 4, 2020",28.967
"Mar 5, 2020",31.521
"Mar 6, 2020",27.293
"Mar 7, 2020",31.472
"Mar 8, 2020",26.692
"Mar 9, 2020",33.211
"Mar 10, 2020",31.779
"Mar 11, 2020",32.147
"Mar 12, 2020",32.533
"Mar 13, 2020",31.855
"Mar 14, 2020",34.598
"Mar 15, 2020",27.25
"Mar 16, 2020",33.35
"Mar 17, 2020",32.578
"Mar 18, 2020",
"Mar 19, 2020",
"Mar 20, 2020",
"Mar 21, 2020",25.13
"Mar 22, 2020",26.798
"Mar 23, 2020",31.643
"Mar 24, 2020",25.71
"Mar 25, 2020",31.291
"Mar 26, 2020",30.701
"Mar 27, 2020",30.212
"Mar 28, 2020",31.148
"Mar 29, 2020",
"Mar 30, 2020",28.523
"Mar 31, 2020",27.71
"Apr 1, 2020",33.042
"Apr 2, 2020",29.713
"Apr 3, 2020",
"Apr 4, 2020",30.281
"Apr 5, 2020",30.08
"Apr 6, 2020",
"Apr 7, 2020",
"Apr 8, 2020",30.53
"Apr 9, 2020",24.29
"Apr 10, 2020",30.529
"Apr 11, 2020",30.852
"Apr 12, 2020",28.273
"Apr 13, 2020",30.028
"Apr 14, 2020",
"Apr 15, 2020",25.464
"Apr 16, 2020",22.08
"Apr 17, 2020",28.158
"Apr 18, 2020",
"Apr 19, 2020",28.468
"Apr 20, 2020",28.905
"Apr 21, 2020",28.59
"Apr 22, 2020",31.025
"Apr 23, 2020",26.197
"Apr 24, 2020",30.026
"Apr 25, 2020",25.95
"Apr 26, 2020",32.467
"Apr 27, 2020",28.67
"Apr 28, 2020",28.908
"Apr 29, 2020",31.203
"Apr 30, 2020",28.969
"May 1, 2020",32.323
"May 2, 2020",22.81
"May 3, 2020",29.275
"May 4, 2020",22.61
"May 5, 2020",22.975
"May 6, 2020",
"May 7, 2020",25.775
"May 8, 2020",26.848
"May 9, 2020",23.483
"May 10, 2020",30.23
"May 11, 2020",
"May 12, 2020",22.21
"May 13, 2020",
"May 14, 2020",
"May 15, 2020",22.85
"May 16, 2020",24.285
"May 17, 2020",27.972
"May 18, 2020",23.35
"May 19, 2020",27.908
"May 20, 2020",28.858
"May 21, 2020",26.037
"May 22, 2020",
