system:time_start,LST_Day_1km
"Jan 1, 2019",
"Jan 2, 2019",27.61
"Jan 3, 2019",34.677
"Jan 4, 2019",35.936
"Jan 5, 2019",
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019",25.357
"Jan 10, 2019",34.924
"Jan 11, 2019",33.845
"Jan 12, 2019",25.45
"Jan 13, 2019",33.214
"Jan 14, 2019",33.088
"Jan 15, 2019",27.837
"Jan 16, 2019",28.427
"Jan 17, 2019",
"Jan 18, 2019",
"Jan 19, 2019",25.43
"Jan 20, 2019",25.77
"Jan 21, 2019",32.851
"Jan 22, 2019",33.711
"Jan 23, 2019",36.971
"Jan 24, 2019",
"Jan 25, 2019",33.713
"Jan 26, 2019",25.31
"Jan 27, 2019",35.148
"Jan 28, 2019",34.21
"Jan 29, 2019",37.028
"Jan 30, 2019",34.564
"Jan 31, 2019",36.59
"Feb 1, 2019",31.29
"Feb 2, 2019",
"Feb 3, 2019",38.179
"Feb 4, 2019",
"Feb 5, 2019",27.69
"Feb 6, 2019",31.784
"Feb 7, 2019",31.148
"Feb 8, 2019",36.306
"Feb 9, 2019",
"Feb 10, 2019",37.298
"Feb 11, 2019",26.61
"Feb 12, 2019",
"Feb 13, 2019",
"Feb 14, 2019",
"Feb 15, 2019",
"Feb 16, 2019",25.39
"Feb 17, 2019",
"Feb 18, 2019",
"Feb 19, 2019",
"Feb 20, 2019",27.193
"Feb 21, 2019",29.707
"Feb 22, 2019",29.459
"Feb 23, 2019",30.708
"Feb 24, 2019",35.184
"Feb 25, 2019",
"Feb 26, 2019",
"Feb 27, 2019",
"Feb 28, 2019",
"Mar 1, 2019",
"Mar 2, 2019",29.026
"Mar 3, 2019",33.032
"Mar 4, 2019",28.92
"Mar 5, 2019",30.55
"Mar 6, 2019",
"Mar 7, 2019",
"Mar 8, 2019",30.22
"Mar 9, 2019",26.59
"Mar 10, 2019",29.081
"Mar 11, 2019",
"Mar 12, 2019",
"Mar 13, 2019",
"Mar 14, 2019",27.09
"Mar 15, 2019",
"Mar 16, 2019",
"Mar 17, 2019",
"Mar 18, 2019",
"Mar 19, 2019",28.465
"Mar 20, 2019",
"Mar 21, 2019",18.81
"Mar 22, 2019",
"Mar 23, 2019",30.855
"Mar 24, 2019",31.092
"Mar 25, 2019",32.776
"Mar 26, 2019",33.707
"Mar 27, 2019",28.595
"Mar 28, 2019",31.914
"Mar 29, 2019",26.03
"Mar 30, 2019",32.21
"Mar 31, 2019",
"Apr 1, 2019",28.01
"Apr 2, 2019",
"Apr 3, 2019",
"Apr 4, 2019",
"Apr 5, 2019",
"Apr 6, 2019",
"Apr 7, 2019",
"Apr 8, 2019",
"Apr 9, 2019",28.781
"Apr 10, 2019",28.197
"Apr 11, 2019",30.709
"Apr 12, 2019",
"Apr 13, 2019",29.33
"Apr 14, 2019",16.53
"Apr 15, 2019",30.589
"Apr 16, 2019",23.69
"Apr 17, 2019",32.913
"Apr 18, 2019",33.15
"Apr 19, 2019",25.91
"Apr 20, 2019",33.791
"Apr 21, 2019",
"Apr 22, 2019",
"Apr 23, 2019",
"Apr 24, 2019",30.352
"Apr 25, 2019",28.69
"Apr 26, 2019",29.972
"Apr 27, 2019",30.663
"Apr 28, 2019",
"Apr 29, 2019",27.22
"Apr 30, 2019",21.63
"May 1, 2019",
"May 2, 2019",
"May 3, 2019",24.89
"May 4, 2019",27.639
"May 5, 2019",28.201
"May 6, 2019",24.083
"May 7, 2019",24.6
"May 8, 2019",28.705
"May 9, 2019",
"May 10, 2019",25.97
"May 11, 2019",
"May 12, 2019",
"May 13, 2019",
"May 14, 2019",23.139
"May 15, 2019",27.145
"May 16, 2019",16.89
"May 17, 2019",26.15
"May 18, 2019",26.89
"May 19, 2019",22.852
"May 20, 2019",29.788
"May 21, 2019",19.857
"May 22, 2019",27.54
"May 23, 2019",
"May 24, 2019",17.81
"May 25, 2019",
"May 26, 2019",23.798
"May 27, 2019",28.354
"May 28, 2019",
"May 29, 2019",24.07
"May 30, 2019",25.23
"May 31, 2019",28.093
"Jun 1, 2019",
"Jun 2, 2019",21.23
"Jun 3, 2019",
"Jun 4, 2019",23.921
"Jun 5, 2019",22.89
"Jun 6, 2019",21.863
"Jun 7, 2019",26.85
"Jun 8, 2019",22.47
"Jun 9, 2019",26.077
"Jun 10, 2019",
"Jun 11, 2019",25.975
"Jun 12, 2019",19.11
"Jun 13, 2019",23.213
"Jun 14, 2019",
