DATA,TEMPERATURA
"Aug 11, 2017","26,536"
"Aug 12, 2017","26,574"
"Aug 13, 2017",
"Aug 14, 2017","19,35"
"Aug 15, 2017",
"Aug 16, 2017",
"Aug 17, 2017",
"Aug 18, 2017",
"Aug 19, 2017",
"Aug 20, 2017",
"Aug 21, 2017","20,73"
"Aug 22, 2017","24,3"
"Aug 23, 2017","18,97"
"Aug 24, 2017","29,203"
"Aug 25, 2017","30,647"
"Aug 26, 2017","30,149"
"Aug 27, 2017","33,515"
"Aug 28, 2017","29,648"
"Aug 29, 2017","33,269"
"Aug 30, 2017","29,65"
"Aug 31, 2017","33,842"
"Sep 1, 2017","26,28"
"Sep 2, 2017","29,413"
"Sep 3, 2017","31,535"
"Sep 4, 2017","31,531"
"Sep 5, 2017","35,213"
"Sep 6, 2017","22,693"
"Sep 7, 2017","34,811"
"Sep 8, 2017","30,03"
"Sep 9, 2017","28,059"
"Sep 10, 2017","33,154"
"Sep 11, 2017","33,818"
"Sep 12, 2017","37,95"
"Sep 13, 2017","32,973"
"Sep 14, 2017","37,807"
"Sep 15, 2017","33,345"
"Sep 16, 2017","38,032"
"Sep 17, 2017","31,176"
"Sep 18, 2017","36,818"
"Sep 19, 2017","36,416"
"Sep 20, 2017","34,443"
"Sep 21, 2017","36,475"
"Sep 22, 2017","34,349"
"Sep 23, 2017","40,677"
"Sep 24, 2017","22,43"
"Sep 25, 2017","30,717"
"Sep 26, 2017",
"Sep 27, 2017","33,15"
"Sep 28, 2017","34,985"
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017","26,83"
"Oct 2, 2017",
"Oct 3, 2017",
"Oct 4, 2017","30,583"
"Oct 5, 2017","27,21"
"Oct 6, 2017",
"Oct 7, 2017",
"Oct 8, 2017",
"Oct 9, 2017",
"Oct 10, 2017","29,51"
"Oct 11, 2017","38,441"
"Oct 12, 2017","35,533"
"Oct 13, 2017","37,849"
"Oct 14, 2017",
"Oct 14, 2017","31,847"
"Oct 16, 2017","35,354"
"Oct 17, 2017","28,969"
"Oct 18, 2017","40,447"
"Oct 19, 2017","35,255"
"Oct 20, 2017",
"Oct 21, 2017",
"Oct 22, 2017",
"Oct 23, 2017",
"Oct 24, 2017","28,774"
"Oct 25, 2017","26,045"
"Oct 26, 2017",
"Oct 27, 2017","28,75"
"Oct 28, 2017","24,55"
"Oct 29, 2017","26,814"
"Oct 30, 2017",
"Oct 31, 2017",
"Nov 1, 2017","31,604"
"Nov 2, 2017","26,67"
"Nov 3, 2017","36,438"
"Nov 4, 2017",
"Nov 5, 2017",
"Nov 6, 2017",
"Nov 7, 2017","16,97"
"Nov 8, 2017",
"Nov 9, 2017","30,37"
"Nov 10, 2017",
"Nov 11, 2017","31,66"
"Nov 12, 2017","39,312"
"Nov 13, 2017","38,094"
"Nov 14, 2017","37,308"
"Nov 15, 2017","38,556"
"Nov 16, 2017","38,314"
"Nov 17, 2017","35,45"
"Nov 18, 2017","31,3"
"Nov 19, 2017","30,346"
"Nov 20, 2017","26,22"
"Nov 21, 2017","34,19"
"Nov 22, 2017",
"Nov 23, 2017","31,59"
"Nov 24, 2017","36,675"
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017",
"Nov 29, 2017","29,655"
"Nov 30, 2017",
"Dec 1, 2017",
"Dec 2, 2017","21,95"
"Dec 3, 2017","36,809"
"Dec 4, 2017","25,653"
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017","24,71"
"Dec 9, 2017","31,657"
"Dec 10, 2017","27,29"
"Dec 11, 2017","34,203"
"Dec 12, 2017","35,962"
"Dec 13, 2017",
"Dec 14, 2017","38,552"
"Dec 15, 2017","34,827"
"Dec 16, 2017","36,442"
"Dec 17, 2017","35,03"
"Dec 18, 2017","37,797"
"Dec 19, 2017","34,07"
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017",
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017",
"Dec 29, 2017",
"Dec 30, 2017",
"Dec 31, 2017","27,54"
