DATA,TEMPERATURA
"Jan 1, 2019","23,89"
"Jan 2, 2019","23,67"
"Jan 3, 2019","25,97"
"Jan 4, 2019","32,778"
"Jan 5, 2019",
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019","25,687"
"Jan 10, 2019",
"Jan 11, 2019","32,18"
"Jan 12, 2019","27,17"
"Jan 13, 2019","29,809"
"Jan 14, 2019","31,309"
"Jan 15, 2019","30,31"
"Jan 16, 2019","30,442"
"Jan 17, 2019","29,07"
"Jan 18, 2019","31,953"
"Jan 19, 2019",
"Jan 20, 2019","29,2"
"Jan 21, 2019","28,848"
"Jan 22, 2019","33,411"
"Jan 23, 2019","34,532"
"Jan 24, 2019",
"Jan 25, 2019","28,035"
"Jan 26, 2019",
"Jan 27, 2019","31,551"
"Jan 28, 2019","29,937"
"Jan 29, 2019","36,591"
"Jan 30, 2019","36,058"
"Jan 31, 2019",
"Feb 1, 2019","32,313"
"Feb 2, 2019","30,41"
"Feb 3, 2019","35,437"
"Feb 4, 2019",
"Feb 5, 2019","28,11"
"Feb 6, 2019","32,949"
"Feb 7, 2019","32,354"
"Feb 8, 2019","36,944"
"Feb 9, 2019","33,282"
"Feb 10, 2019","33,444"
"Feb 11, 2019",
"Feb 12, 2019",
"Feb 13, 2019",
"Feb 14, 2019","29,037"
"Feb 15, 2019",
"Feb 16, 2019","28,93"
"Feb 17, 2019","32,556"
"Feb 18, 2019","24,03"
"Feb 19, 2019","24,77"
"Feb 20, 2019","26,47"
"Feb 21, 2019","32,325"
"Feb 22, 2019","32,277"
"Feb 23, 2019","33,688"
"Feb 24, 2019","36,195"
"Feb 25, 2019","20,8"
"Feb 26, 2019",
"Feb 27, 2019",
"Feb 28, 2019",
"Mar 1, 2019",
"Mar 2, 2019","32,091"
"Mar 3, 2019","31,976"
"Mar 4, 2019","32,036"
"Mar 5, 2019","32,181"
"Mar 6, 2019",
"Mar 7, 2019",
"Mar 8, 2019",
"Mar 9, 2019","26,396"
"Mar 10, 2019","29,263"
"Mar 11, 2019",
"Mar 12, 2019","30,711"
