DATA,TEMPERATURA
"Jan 1, 2018",
"Jan 2, 2018",
"Jan 3, 2018",
"Jan 4, 2018","31,917"
"Jan 5, 2018","28,859"
"Jan 6, 2018","30,026"
"Jan 7, 2018",
"Jan 8, 2018","19,63"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018","19,71"
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018","28,63"
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018",
"Jan 20, 2018","30,356"
"Jan 21, 2018",
"Jan 22, 2018","30,712"
"Jan 23, 2018","29,41"
"Jan 24, 2018","33,105"
"Jan 25, 2018",
"Jan 26, 2018","25,93"
"Jan 27, 2018",
"Jan 28, 2018","23,27"
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018","20,45"
"Feb 1, 2018","24,176"
"Feb 2, 2018","30,694"
"Feb 3, 2018","30,705"
"Feb 4, 2018","28,86"
"Feb 5, 2018","32,084"
"Feb 6, 2018","29,259"
"Feb 7, 2018","35,53"
"Feb 8, 2018","31,561"
"Feb 9, 2018","33,691"
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",
"Feb 14, 2018",
"Feb 15, 2018",
"Feb 16, 2018","24,71"
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018","29,77"
"Feb 22, 2018","28,983"
"Feb 23, 2018","32,53"
"Feb 24, 2018","28,05"
"Feb 25, 2018","32,413"
"Feb 26, 2018","32,39"
"Feb 27, 2018",
"Feb 28, 2018","19,95"
"Mar 1, 2018",
"Mar 2, 2018","28,59"
"Mar 3, 2018",
"Mar 4, 2018","33,343"
"Mar 5, 2018","32,466"
"Mar 6, 2018","23,19"
"Mar 7, 2018","27,67"
"Mar 8, 2018","27,42"
"Mar 9, 2018","32,154"
"Mar 10, 2018",
"Mar 11, 2018","33,582"
"Mar 12, 2018","29,03"
"Mar 13, 2018","35,172"
"Mar 14, 2018","28,65"
"Mar 15, 2018",
"Mar 16, 2018","30,292"
"Mar 17, 2018","29,67"
"Mar 18, 2018","33,28"
"Mar 19, 2018",
"Mar 20, 2018","34,46"
"Mar 21, 2018",
"Mar 22, 2018",
"Mar 23, 2018","30,656"
