DATA,TEMPERATURA
"Aug 10, 2017","31,655"
"Aug 11, 2017","29,706"
"Aug 12, 2017",
"Aug 13, 2017",
"Aug 14, 2017","17,49"
"Aug 15, 2017",
"Aug 16, 2017",
"Aug 17, 2017","19,47"
"Aug 18, 2017",
"Aug 19, 2017","20,49"
"Aug 20, 2017","18,23"
"Aug 21, 2017","20,13"
"Aug 22, 2017","22,28"
"Aug 23, 2017",
"Aug 24, 2017","29,026"
"Aug 25, 2017","29,914"
"Aug 26, 2017","29,708"
"Aug 27, 2017","31,21"
"Aug 28, 2017","29,481"
"Aug 29, 2017","33,846"
"Aug 30, 2017","28,475"
"Aug 31, 2017","34,818"
"Sep 1, 2017","27,47"
"Sep 2, 2017","29,213"
"Sep 3, 2017","32,776"
"Sep 4, 2017","30,473"
"Sep 5, 2017","34,947"
"Sep 6, 2017","27,345"
"Sep 7, 2017","33,94"
"Sep 8, 2017","26,71"
"Sep 9, 2017","27,94"
"Sep 10, 2017","34,54"
"Sep 11, 2017",
"Sep 12, 2017","33,218"
"Sep 13, 2017","30,29"
"Sep 14, 2017","36,07"
"Sep 15, 2017","29,841"
"Sep 16, 2017","33,95"
"Sep 17, 2017","30,713"
"Sep 18, 2017","35,809"
"Sep 19, 2017","37,592"
"Sep 20, 2017","34,458"
"Sep 21, 2017","37,77"
"Sep 22, 2017","33,281"
"Sep 23, 2017","39,939"
"Sep 24, 2017",
"Sep 25, 2017","27,69"
"Sep 26, 2017","31,956"
"Sep 27, 2017","35,345"
"Sep 28, 2017","40,667"
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017","25,14"
"Oct 2, 2017",
"Oct 3, 2017","29,016"
"Oct 4, 2017","31,146"
"Oct 5, 2017","19,61"
"Oct 6, 2017","31,656"
"Oct 7, 2017",
"Oct 8, 2017",
"Oct 9, 2017","21,39"
"Oct 10, 2017",
"Oct 11, 2017","29,839"
"Oct 12, 2017","32,67"
"Oct 13, 2017","35,155"
"Oct 14, 2017",
"Oct 14, 2017","29,419"
"Oct 16, 2017","33,91"
"Oct 17, 2017","28,523"
"Oct 18, 2017","37,091"
