DATA,TEMPERATURA
"Aug 4, 2018",
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 7, 2018","21,33"
"Aug 8, 2018",
"Aug 9, 2018","18,197"
"Aug 10, 2018",
"Aug 11, 2018","21,972"
"Aug 12, 2018","26,852"
"Aug 13, 2018","24,527"
"Aug 14, 2018","29,709"
"Aug 15, 2018",
"Aug 16, 2018","23,942"
"Aug 17, 2018","21,423"
"Aug 18, 2018","27,78"
"Aug 19, 2018","28,853"
"Aug 20, 2018","31,212"
"Aug 21, 2018","23,05"
"Aug 22, 2018",
"Aug 23, 2018","25,088"
"Aug 24, 2018","21,11"
"Aug 25, 2018","23,211"
"Aug 26, 2018","19,074"
"Aug 27, 2018","26,709"
"Aug 28, 2018","27,592"
"Aug 29, 2018","31,47"
"Aug 30, 2018","33,47"
"Aug 31, 2018","32,09"
"Sep 1, 2018","34,471"
"Sep 2, 2018",
"Sep 3, 2018",
"Sep 4, 2018","25,405"
"Sep 5, 2018","25,965"
"Sep 6, 2018","29,206"
"Sep 7, 2018","32,213"
"Sep 8, 2018","36,705"
"Sep 9, 2018","31,591"
"Sep 10, 2018","34,41"
"Sep 11, 2018","28,084"
"Sep 12, 2018","31,906"
"Sep 13, 2018",
"Sep 14, 2018",
"Sep 15, 2018","27,89"
"Sep 16, 2018","24,717"
"Sep 17, 2018",
"Sep 18, 2018",
"Sep 19, 2018","33,719"
"Sep 20, 2018",
"Sep 21, 2018","29,279"
"Sep 22, 2018","34,473"
"Sep 23, 2018","36,277"
"Sep 24, 2018","40,705"
"Sep 25, 2018","33,19"
"Sep 26, 2018",
"Sep 27, 2018",
"Sep 28, 2018","31,087"
"Sep 29, 2018","26,57"
"Sep 30, 2018",
"Oct 1, 2018","29,777"
"Oct 2, 2018",
"Oct 3, 2018","31,95"
"Oct 4, 2018",
"Oct 5, 2018",
"Oct 6, 2018",
"Oct 7, 2018","35,302"
"Oct 8, 2018",
"Oct 9, 2018",
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018","29,53"
"Oct 13, 2018",
"Oct 14, 2018","32,473"
"Oct 15, 2018",
"Oct 16, 2018","31,152"
"Oct 17, 2018",
"Oct 18, 2018",
"Oct 19, 2018","25,968"
"Oct 20, 2018","24,211"
"Oct 21, 2018","36,44"
"Oct 22, 2018","33,19"
"Oct 23, 2018",
"Oct 24, 2018",
"Oct 25, 2018",
"Oct 26, 2018",
"Oct 27, 2018",
"Oct 28, 2018","34,973"
"Oct 29, 2018","27,406"
"Oct 30, 2018","35,938"
"Oct 31, 2018",
"Nov 1, 2018",
"Nov 2, 2018","29,348"
"Nov 3, 2018","34,591"
"Nov 3, 2018",
"Nov 5, 2018","28,563"
"Nov 6, 2018","30,678"
"Nov 7, 2018",
"Nov 8, 2018","35,026"
"Nov 9, 2018",
"Nov 10, 2018",
"Nov 11, 2018","32,298"
"Nov 12, 2018","33,859"
"Nov 13, 2018","37,939"
"Nov 14, 2018",
"Nov 15, 2018","31,944"
"Nov 16, 2018","29,29"
"Nov 17, 2018","35,307"
"Nov 18, 2018",
"Nov 19, 2018",
"Nov 20, 2018","33,034"
"Nov 21, 2018","29,413"
"Nov 22, 2018","36,028"
"Nov 23, 2018",
"Nov 24, 2018","27,279"
"Nov 25, 2018","28,587"
"Nov 26, 2018","28,71"
"Nov 27, 2018","32,409"
"Nov 28, 2018","26,912"
"Nov 29, 2018",
"Nov 30, 2018","26,598"
"Dec 1, 2018","28,677"
"Dec 2, 2018",
"Dec 3, 2018","33,562"
"Dec 4, 2018","30,716"
"Dec 5, 2018","35,094"
"Dec 6, 2018","36,941"
"Dec 7, 2018","32,678"
"Dec 8, 2018","30,312"
"Dec 9, 2018","31,09"
"Dec 10, 2018","38,533"
"Dec 11, 2018","32,972"
"Dec 12, 2018","37,053"
"Dec 13, 2018","35,566"
"Dec 14, 2018","33,851"
"Dec 15, 2018","35,63"
"Dec 16, 2018",
"Dec 17, 2018","35,706"
"Dec 18, 2018","26,97"
"Dec 19, 2018","34,088"
"Dec 20, 2018","32,679"
"Dec 21, 2018","33,962"
"Dec 22, 2018","27,797"
"Dec 23, 2018",
"Dec 24, 2018","26,712"
"Dec 25, 2018",
"Dec 26, 2018","30,21"
"Dec 27, 2018","26,765"
"Dec 28, 2018","28,646"
"Dec 29, 2018","24,83"
"Dec 30, 2018",
"Dec 31, 2018","29,472"
