system:time_start,LST_Day_1km
"Aug 17, 2020",
"Aug 18, 2020",21.75
"Aug 19, 2020",
"Aug 20, 2020",
"Aug 21, 2020",
"Aug 22, 2020",16.85
"Aug 23, 2020",23.581
"Aug 24, 2020",
"Aug 25, 2020",26.086
"Aug 26, 2020",27.705
"Aug 27, 2020",27.411
"Aug 28, 2020",33.177
"Aug 29, 2020",
"Aug 30, 2020",35.943
"Aug 31, 2020",
