DATA,TEMPERATURA
"Jan 1, 2017","28,39"
"Jan 2, 2017",
"Jan 3, 2017","28,345"
"Jan 4, 2017",
"Jan 5, 2017",
"Jan 6, 2017",
"Jan 7, 2017","32,819"
"Jan 8, 2017","34,182"
"Jan 9, 2017","41,29"
"Jan 10, 2017",
"Jan 11, 2017",
"Jan 12, 2017","30,42"
"Jan 13, 2017","30,285"
"Jan 14, 2017","26,69"
"Jan 15, 2017","22,87"
"Jan 16, 2017","31,69"
"Jan 17, 2017","30,282"
"Jan 18, 2017","24,77"
"Jan 19, 2017","31,438"
"Jan 20, 2017","22,83"
"Jan 21, 2017","29,71"
"Jan 22, 2017","26,907"
"Jan 23, 2017","28,093"
"Jan 24, 2017","27,91"
"Jan 25, 2017",
"Jan 26, 2017",
"Jan 27, 2017",
"Jan 28, 2017",
"Jan 29, 2017",
"Jan 30, 2017",
"Jan 31, 2017","27,71"
"Feb 1, 2017",
"Feb 2, 2017",
"Feb 3, 2017","23,55"
"Feb 4, 2017","33,527"
"Feb 5, 2017","29,979"
"Feb 6, 2017","29,19"
"Feb 7, 2017","34,147"
"Feb 8, 2017","31,342"
"Feb 9, 2017","33,467"
"Feb 10, 2017",
"Feb 11, 2017",
"Feb 12, 2017",
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017","32,277"
"Feb 16, 2017","33,649"
"Feb 17, 2017","31,971"
"Feb 18, 2017","33,967"
"Feb 19, 2017","32,274"
"Feb 20, 2017","34,405"
"Feb 21, 2017","28,89"
"Feb 22, 2017","33,194"
"Feb 23, 2017","33,906"
"Feb 24, 2017",
"Feb 25, 2017","30,21"
"Feb 26, 2017","24,768"
"Feb 27, 2017","30,682"
"Feb 28, 2017",
"Mar 1, 2017","33,188"
"Mar 2, 2017","24,988"
"Mar 3, 2017","29,813"
"Mar 4, 2017",
"Mar 5, 2017","33,27"
"Mar 6, 2017",
"Mar 7, 2017","24,01"
"Mar 8, 2017","33,31"
"Mar 9, 2017","30,146"
"Mar 10, 2017","30,777"
"Mar 11, 2017","33,207"
"Mar 12, 2017","32,353"
"Mar 13, 2017","31,41"
"Mar 14, 2017","28,67"
"Mar 15, 2017","33,778"
"Mar 16, 2017",
"Mar 17, 2017",
"Mar 18, 2017",
"Mar 19, 2017",
"Mar 20, 2017","28,703"
"Mar 21, 2017","28,61"
"Mar 22, 2017","28,266"
"Mar 23, 2017",
"Mar 24, 2017","34,031"
"Mar 25, 2017","30,776"
"Mar 26, 2017",
"Mar 27, 2017",
"Mar 28, 2017","26,05"
"Mar 29, 2017","30,48"
"Mar 30, 2017","27,263"
"Mar 31, 2017","31,089"
