system:time_start,LST_Day_1km
"Aug 17, 2020",
"Aug 18, 2020",
"Aug 19, 2020",
"Aug 20, 2020",
"Aug 21, 2020",16.479
"Aug 22, 2020",15.85
"Aug 23, 2020",22.643
"Aug 24, 2020",
"Aug 25, 2020",25.55
"Aug 26, 2020",27.588
"Aug 27, 2020",26.298
"Aug 28, 2020",32.469
"Aug 29, 2020",29.714
"Aug 30, 2020",35.313
"Aug 31, 2020",30.63
