DATA,TEMPERATURA
"Jan 1, 2018","25,43"
"Jan 2, 2018",
"Jan 3, 2018","22,077"
"Jan 4, 2018","33,529"
"Jan 5, 2018","29,23"
"Jan 6, 2018",
"Jan 7, 2018","19,43"
"Jan 8, 2018","31,69"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018",
"Jan 20, 2018",
"Jan 21, 2018","34,33"
"Jan 22, 2018","29,65"
"Jan 23, 2018","29,67"
"Jan 24, 2018","33,652"
"Jan 25, 2018",
"Jan 26, 2018","28,85"
"Jan 27, 2018",
"Jan 28, 2018",
"Jan 29, 2018",
"Jan 30, 2018","23,29"
"Jan 31, 2018","28,91"
"Feb 1, 2018",
"Feb 2, 2018","31,87"
"Feb 3, 2018","32,775"
"Feb 4, 2018","30,917"
"Feb 5, 2018","33,46"
"Feb 6, 2018","28,63"
"Feb 7, 2018","36,692"
"Feb 8, 2018","25,99"
"Feb 9, 2018","29,97"
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018","26,79"
"Feb 14, 2018","25,81"
"Feb 15, 2018","20,43"
"Feb 16, 2018","31,589"
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018","28,698"
"Feb 22, 2018","29,25"
"Feb 23, 2018","33,293"
"Feb 24, 2018","30,265"
"Feb 25, 2018","28,61"
"Feb 26, 2018","29,21"
"Feb 27, 2018",
"Feb 28, 2018","25,95"
"Mar 1, 2018","21,89"
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018","30,42"
"Mar 5, 2018",
"Mar 6, 2018",
"Mar 7, 2018","26,21"
"Mar 8, 2018","30,694"
"Mar 9, 2018","31,783"
"Mar 10, 2018","21,37"
"Mar 11, 2018","32,145"
"Mar 12, 2018","26,91"
"Mar 13, 2018","29,595"
"Mar 14, 2018","21,03"
"Mar 15, 2018",
"Mar 16, 2018","28,55"
"Mar 17, 2018","28,11"
"Mar 18, 2018","32,02"
"Mar 19, 2018","27,521"
"Mar 20, 2018","31,464"
"Mar 21, 2018","24,27"
"Mar 22, 2018","23,53"
"Mar 23, 2018","28,863"
"Mar 24, 2018","27,47"
"Mar 25, 2018",
"Mar 26, 2018",
"Mar 27, 2018",
"Mar 28, 2018",
"Mar 29, 2018",
"Mar 30, 2018",
"Mar 31, 2018",
"Apr 1, 2018","19,97"
"Apr 2, 2018",
"Apr 3, 2018","29,95"
"Apr 4, 2018","26,977"
"Apr 5, 2018","30,89"
"Apr 6, 2018","31,645"
"Apr 7, 2018","29,696"
"Apr 8, 2018","31,962"
"Apr 9, 2018","27,148"
"Apr 10, 2018","30,861"
"Apr 11, 2018","26,07"
"Apr 12, 2018","31,853"
"Apr 13, 2018","30,64"
"Apr 14, 2018","29,907"
"Apr 15, 2018",
"Apr 16, 2018",
"Apr 17, 2018","26,859"
"Apr 18, 2018","23,65"
"Apr 19, 2018","29,17"
"Apr 20, 2018",
"Apr 21, 2018","28,19"
"Apr 22, 2018","29,518"
"Apr 23, 2018","28,51"
"Apr 24, 2018","30,584"
"Apr 25, 2018","26,83"
"Apr 26, 2018","31,279"
"Apr 27, 2018","23,33"
"Apr 28, 2018","31,586"
"Apr 29, 2018","29,977"
"Apr 30, 2018","31,716"
"May 1, 2018","28,301"
"May 2, 2018","26,975"
"May 3, 2018","31,528"
"May 4, 2018","27,13"
"May 5, 2018",
"May 6, 2018",
"May 7, 2018","28,798"
"May 8, 2018","23,713"
"May 9, 2018","26,985"
"May 10, 2018","30,404"
"May 11, 2018",
"May 12, 2018","21,291"
"May 13, 2018","21,39"
"May 14, 2018","26,303"
"May 15, 2018","27,766"
"May 16, 2018",
"May 17, 2018","24,581"
"May 18, 2018","25,95"
"May 19, 2018",
"May 20, 2018","18,27"
"May 21, 2018","21,258"
"May 22, 2018","22,55"
"May 23, 2018","22,027"
"May 24, 2018","19,93"
"May 25, 2018","16,65"
"May 26, 2018","24,702"
"May 27, 2018",
"May 28, 2018","26,482"
"May 29, 2018","21,45"
"May 30, 2018","20,523"
"May 31, 2018","22,695"
"Jun 1, 2018",
"Jun 2, 2018",
"Jun 3, 2018",
"Jun 4, 2018",
"Jun 5, 2018",
"Jun 6, 2018",
"Jun 7, 2018",
"Jun 8, 2018","15,71"
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",
"Jun 12, 2018",
"Jun 13, 2018",
"Jun 14, 2018",
"Jun 15, 2018","12,31"
"Jun 16, 2018",
"Jun 17, 2018","18,922"
"Jun 18, 2018",
"Jun 19, 2018","20,25"
"Jun 20, 2018","16,05"
"Jun 21, 2018","21,23"
"Jun 22, 2018","26,21"
"Jun 23, 2018","26,13"
"Jun 24, 2018",
"Jun 25, 2018","26,41"
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018","17,13"
"Jun 29, 2018","27,314"
"Jun 30, 2018","21,641"
"Jul 1, 2018","27,708"
"Jul 2, 2018","23,535"
"Jul 3, 2018","26,974"
"Jul 4, 2018","26,76"
"Jul 5, 2018","23,635"
"Jul 6, 2018","28,916"
"Jul 7, 2018","16,11"
"Jul 8, 2018","21,81"
"Jul 9, 2018",
"Jul 10, 2018","19,95"
"Jul 11, 2018","18,77"
"Jul 12, 2018","13,59"
"Jul 13, 2018","25,842"
"Jul 14, 2018","22,92"
"Jul 15, 2018","29,702"
"Jul 16, 2018","24,45"
"Jul 17, 2018","29,787"
"Jul 18, 2018","29,78"
"Jul 19, 2018","29,275"
"Jul 20, 2018","30,348"
"Jul 21, 2018","20,29"
"Jul 22, 2018","21,77"
"Jul 23, 2018","20,35"
"Jul 24, 2018",
"Jul 25, 2018","20,987"
"Jul 26, 2018","24,794"
"Jul 27, 2018","24,35"
"Jul 28, 2018","27,697"
"Jul 29, 2018","24,141"
"Jul 30, 2018","19,04"
"Jul 31, 2018","22,8"
"Aug 1, 2018",
"Aug 2, 2018","15,085"
"Aug 3, 2018",
"Aug 4, 2018",
"Aug 5, 2018",
"Aug 6, 2018","21,67"
"Aug 7, 2018",
"Aug 8, 2018",
"Aug 9, 2018","18,67"
"Aug 10, 2018","20,23"
"Aug 11, 2018","22,423"
"Aug 12, 2018","26,145"
"Aug 13, 2018","24,23"
"Aug 14, 2018","27,791"
"Aug 15, 2018",
"Aug 16, 2018","22,11"
"Aug 17, 2018","20,354"
"Aug 18, 2018","26,972"
"Aug 19, 2018","29,4"
"Aug 20, 2018",
"Aug 21, 2018",
"Aug 22, 2018",
"Aug 23, 2018","20,47"
"Aug 24, 2018","22,25"
"Aug 25, 2018","21,92"
"Aug 26, 2018","22,859"
"Aug 27, 2018","26,274"
"Aug 28, 2018","27,09"
"Aug 29, 2018","31,413"
"Aug 30, 2018","33,219"
"Aug 31, 2018","30,642"
"Sep 1, 2018","30,18"
"Sep 2, 2018",
"Sep 3, 2018",
"Sep 4, 2018","21,483"
"Sep 5, 2018","25,36"
"Sep 6, 2018","28,091"
"Sep 7, 2018","28,594"
"Sep 8, 2018","34,045"
"Sep 9, 2018","28,908"
"Sep 10, 2018","32,033"
"Sep 11, 2018","28,646"
"Sep 12, 2018","29,856"
"Sep 13, 2018",
"Sep 14, 2018",
"Sep 15, 2018","29,209"
"Sep 16, 2018",
"Sep 17, 2018",
"Sep 18, 2018","24,137"
"Sep 19, 2018",
"Sep 20, 2018",
"Sep 21, 2018","26,636"
"Sep 22, 2018","32,595"
"Sep 23, 2018","32,972"
"Sep 24, 2018","36,569"
"Sep 25, 2018","26,804"
"Sep 26, 2018","29,3"
"Sep 27, 2018",
"Sep 28, 2018","21,49"
"Sep 29, 2018",
"Sep 30, 2018",
"Oct 1, 2018","27,27"
"Oct 2, 2018",
"Oct 3, 2018","33,214"
"Oct 4, 2018",
"Oct 5, 2018","25,99"
"Oct 6, 2018",
"Oct 7, 2018","27,337"
"Oct 8, 2018",
"Oct 9, 2018",
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018","28,074"
"Oct 13, 2018",
"Oct 14, 2018",
"Oct 15, 2018","25,61"
"Oct 16, 2018","28,77"
"Oct 17, 2018",
"Oct 18, 2018","29,21"
"Oct 19, 2018","22,21"
"Oct 20, 2018","21,795"
"Oct 21, 2018","32,655"
"Oct 22, 2018","29,208"
"Oct 23, 2018",
"Oct 24, 2018",
"Oct 25, 2018",
"Oct 26, 2018",
"Oct 27, 2018",
"Oct 28, 2018","32,47"
"Oct 29, 2018","25,09"
"Oct 30, 2018","22,33"
"Oct 31, 2018",
"Nov 1, 2018",
"Nov 2, 2018","28,468"
"Nov 3, 2018","30,595"
"Nov 3, 2018","20,35"
"Nov 5, 2018","22,59"
"Nov 6, 2018","18,35"
"Nov 7, 2018","31,794"
"Nov 8, 2018","32,273"
"Nov 9, 2018",
"Nov 10, 2018",
"Nov 11, 2018","32,051"
"Nov 12, 2018","25,412"
"Nov 13, 2018",
"Nov 14, 2018",
"Nov 15, 2018",
"Nov 16, 2018","23,17"
"Nov 17, 2018","30,777"
"Nov 18, 2018",
"Nov 19, 2018",
"Nov 20, 2018","34,087"
"Nov 21, 2018","27,51"
"Nov 22, 2018","34,864"
"Nov 23, 2018",
"Nov 24, 2018","28,45"
"Nov 25, 2018","28,21"
"Nov 26, 2018","30,516"
"Nov 27, 2018","33,789"
"Nov 28, 2018",
"Nov 29, 2018",
"Nov 30, 2018",
"Dec 1, 2018","27,843"
"Dec 2, 2018","31,765"
"Dec 3, 2018","33,21"
"Dec 4, 2018","38,303"
"Dec 5, 2018","35,97"
"Dec 6, 2018","41,19"
"Dec 7, 2018","26,51"
"Dec 8, 2018","37,18"
"Dec 9, 2018","34,035"
"Dec 10, 2018","41,317"
"Dec 11, 2018","38,483"
"Dec 12, 2018","36,709"
"Dec 13, 2018",
"Dec 14, 2018","36,028"
"Dec 15, 2018","37,541"
"Dec 16, 2018",
"Dec 17, 2018","37,338"
"Dec 18, 2018","32,99"
"Dec 19, 2018","35,21"
"Dec 20, 2018","38,71"
"Dec 21, 2018","36,165"
"Dec 22, 2018","34,278"
"Dec 23, 2018",
"Dec 24, 2018","30,67"
"Dec 25, 2018",
"Dec 26, 2018",
"Dec 27, 2018","29,42"
"Dec 28, 2018",
"Dec 29, 2018","28,41"
"Dec 30, 2018",
"Dec 31, 2018","31,466"
