system:time_start,LST_Day_1km
"Jan 1, 2019",26.57
"Jan 2, 2019",
"Jan 3, 2019",31.49
"Jan 4, 2019",35.647
"Jan 5, 2019",
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019",22.21
"Jan 10, 2019",
"Jan 11, 2019",27.481
"Jan 12, 2019",31.04
"Jan 13, 2019",23.07
"Jan 14, 2019",32.764
"Jan 15, 2019",
"Jan 16, 2019",33.168
"Jan 17, 2019",31.99
"Jan 18, 2019",
"Jan 19, 2019",
"Jan 20, 2019",28.577
"Jan 21, 2019",30.155
"Jan 22, 2019",32.149
"Jan 23, 2019",36.787
"Jan 24, 2019",
"Jan 25, 2019",32.151
"Jan 26, 2019",31.91
"Jan 27, 2019",32.591
"Jan 28, 2019",31.656
"Jan 29, 2019",34.03
"Jan 30, 2019",35.155
"Jan 31, 2019",33.85
"Feb 1, 2019",34.667
"Feb 2, 2019",
"Feb 3, 2019",34.2
"Feb 4, 2019",29.61
"Feb 5, 2019",
"Feb 6, 2019",32.768
"Feb 7, 2019",31.151
"Feb 8, 2019",35.023
"Feb 9, 2019",24.49
"Feb 10, 2019",
"Feb 11, 2019",27.709
"Feb 12, 2019",
"Feb 13, 2019",
"Feb 14, 2019",
"Feb 15, 2019",28.71
"Feb 16, 2019",26.19
"Feb 17, 2019",
"Feb 18, 2019",25.39
"Feb 19, 2019",
"Feb 20, 2019",28.973
"Feb 21, 2019",25.25
"Feb 22, 2019",32.787
"Feb 23, 2019",27.65
"Feb 24, 2019",33.713
"Feb 25, 2019",28.93
"Feb 26, 2019",
"Feb 27, 2019",
"Feb 28, 2019",27.21
"Mar 1, 2019",29.346
"Mar 2, 2019",31.409
"Mar 3, 2019",35.472
"Mar 4, 2019",28.83
"Mar 5, 2019",28.83
"Mar 6, 2019",
"Mar 7, 2019",29.77
"Mar 8, 2019",30.259
"Mar 9, 2019",
"Mar 10, 2019",29.141
"Mar 11, 2019",
"Mar 12, 2019",
"Mar 13, 2019",
"Mar 14, 2019",26.01
"Mar 15, 2019",
"Mar 16, 2019",
"Mar 17, 2019",
"Mar 18, 2019",
"Mar 19, 2019",
"Mar 20, 2019",
"Mar 21, 2019",26.73
"Mar 22, 2019",26.525
"Mar 23, 2019",30.205
"Mar 24, 2019",31.85
"Mar 25, 2019",31.471
"Mar 26, 2019",32.974
"Mar 27, 2019",28.11
"Mar 28, 2019",31.595
"Mar 29, 2019",25.015
"Mar 30, 2019",32.027
"Mar 31, 2019",
"Apr 1, 2019",
"Apr 2, 2019",
"Apr 3, 2019",
"Apr 4, 2019",28.152
"Apr 5, 2019",
"Apr 6, 2019",
"Apr 7, 2019",
"Apr 8, 2019",
"Apr 9, 2019",27.543
"Apr 10, 2019",27.92
"Apr 11, 2019",30.855
"Apr 12, 2019",24.63
"Apr 13, 2019",26.2
"Apr 14, 2019",
"Apr 15, 2019",31.403
"Apr 16, 2019",
"Apr 17, 2019",31.413
"Apr 18, 2019",31.978
"Apr 19, 2019",28.78
"Apr 20, 2019",25.63
"Apr 21, 2019",
"Apr 22, 2019",
"Apr 23, 2019",
"Apr 24, 2019",30.916
"Apr 25, 2019",31.55
"Apr 26, 2019",29.088
"Apr 27, 2019",27.777
"Apr 28, 2019",
"Apr 29, 2019",26.146
"Apr 30, 2019",20.87
"May 1, 2019",
"May 2, 2019",
"May 3, 2019",21.05
"May 4, 2019",26.584
"May 5, 2019",28.55
"May 6, 2019",15.91
"May 7, 2019",
"May 8, 2019",28.203
"May 9, 2019",
"May 10, 2019",29.304
"May 11, 2019",
"May 12, 2019",
"May 13, 2019",
"May 14, 2019",19.95
"May 15, 2019",23.786
"May 16, 2019",14.51
"May 17, 2019",25.361
"May 18, 2019",25.481
"May 19, 2019",22.705
"May 20, 2019",27.33
"May 21, 2019",
"May 22, 2019",
"May 23, 2019",
"May 24, 2019",19.142
"May 25, 2019",
"May 26, 2019",22.21
"May 27, 2019",26.023
"May 28, 2019",
"May 29, 2019",24.05
"May 30, 2019",20.85
"May 31, 2019",26.015
"Jun 1, 2019",
"Jun 2, 2019",21.53
"Jun 3, 2019",
"Jun 4, 2019",23.13
"Jun 5, 2019",21.41
"Jun 6, 2019",21.01
"Jun 7, 2019",26.67
"Jun 8, 2019",19.69
"Jun 9, 2019",25.699
"Jun 10, 2019",23.29
"Jun 11, 2019",24.521
"Jun 12, 2019",27.23
