DATA,TEMPERATURA
"Jan 1, 2020","30,938"
"Jan 2, 2020","25,73"
"Jan 3, 2020","25,21"
"Jan 4, 2020","23,52"
"Jan 5, 2020","26,522"
"Jan 6, 2020","26,357"
"Jan 7, 2020",
"Jan 8, 2020","23,51"
"Jan 9, 2020","21,89"
"Jan 10, 2020","24,71"
"Jan 11, 2020","24,33"
"Jan 12, 2020","28,85"
"Jan 13, 2020",
"Jan 14, 2020","23,461"
"Jan 15, 2020","29,056"
"Jan 16, 2020","27,643"
"Jan 17, 2020",
"Jan 18, 2020","24,283"
"Jan 19, 2020","29,47"
"Jan 20, 2020","20,19"
"Jan 21, 2020","29,314"
"Jan 22, 2020",
"Jan 23, 2020",
"Jan 24, 2020","26,779"
"Jan 25, 2020","28,152"
"Jan 26, 2020","32,185"
"Jan 27, 2020","29,697"
"Jan 28, 2020","34,209"
"Jan 29, 2020",
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",
"Feb 3, 2020",
"Feb 4, 2020",
"Feb 5, 2020",
"Feb 6, 2020","28,782"
"Feb 7, 2020","27,27"
"Feb 8, 2020","27,27"
"Feb 9, 2020","26,515"
"Feb 10, 2020","26,05"
"Feb 11, 2020","26,19"
"Feb 12, 2020","26,968"
"Feb 13, 2020","33,561"
"Feb 14, 2020",
"Feb 15, 2020","33,942"
"Feb 16, 2020","35,56"
"Feb 17, 2020","33,706"
"Feb 18, 2020","34,055"
"Feb 19, 2020",
"Feb 20, 2020","31,561"
"Feb 21, 2020",
"Feb 22, 2020","32,559"
"Feb 23, 2020","27,168"
"Feb 24, 2020","29,784"
"Feb 25, 2020",
"Feb 26, 2020",
"Feb 27, 2020","29,03"
"Feb 28, 2020","28,716"
"Feb 29, 2020","35,172"
"Mar 1, 2020","34,908"
"Mar 2, 2020","33,176"
"Mar 3, 2020","31,847"
"Mar 4, 2020","33,092"
"Mar 5, 2020","36,066"
"Mar 6, 2020","32,649"
"Mar 7, 2020","35,559"
"Mar 8, 2020","28,773"
"Mar 9, 2020","37,068"
"Mar 10, 2020","36,906"
"Mar 11, 2020","37,706"
"Mar 12, 2020","38,351"
"Mar 13, 2020","37,208"
"Mar 14, 2020","40,055"
"Mar 15, 2020","35,467"
"Mar 16, 2020","37,531"
"Mar 17, 2020",
"Mar 18, 2020","26,66"
"Mar 19, 2020","29,43"
"Mar 20, 2020",
"Mar 21, 2020","29,781"
"Mar 22, 2020","29,05"
"Mar 23, 2020","33,595"
"Mar 24, 2020","27,73"
"Mar 25, 2020","33,282"
"Mar 26, 2020","32,783"
"Mar 27, 2020","31,351"
"Mar 28, 2020","32,815"
"Mar 29, 2020",
"Mar 30, 2020","28,912"
"Mar 31, 2020","27,469"
"Apr 1, 2020","32,09"
"Apr 2, 2020","22,47"
"Apr 3, 2020","28,652"
"Apr 4, 2020","29,278"
"Apr 5, 2020","29,78"
"Apr 6, 2020","29,771"
"Apr 7, 2020","22,25"
"Apr 8, 2020","29,091"
"Apr 9, 2020","23,763"
"Apr 10, 2020","29,469"
"Apr 11, 2020","28,469"
"Apr 12, 2020","28,148"
"Apr 13, 2020","28,712"
"Apr 14, 2020",
"Apr 15, 2020","22,851"
"Apr 16, 2020","22,11"
"Apr 17, 2020","27,147"
"Apr 18, 2020",
"Apr 19, 2020","27,412"
"Apr 20, 2020","26,782"
"Apr 21, 2020","27,911"
"Apr 22, 2020","29,588"
"Apr 23, 2020","25,151"
"Apr 24, 2020","28,848"
"Apr 25, 2020","25,859"
"Apr 26, 2020","31,152"
"Apr 27, 2020","27,39"
"Apr 28, 2020","27,83"
"Apr 29, 2020","29,464"
"Apr 30, 2020","28,475"
"May 1, 2020","30,677"
"May 2, 2020","20,83"
"May 3, 2020","27,279"
"May 4, 2020","20,653"
"May 5, 2020","21,898"
"May 6, 2020",
"May 7, 2020","22,854"
"May 8, 2020","24,913"
"May 9, 2020","22,83"
"May 10, 2020","28,409"
"May 11, 2020","21,771"
"May 12, 2020","25,175"
"May 13, 2020",
"May 14, 2020","12,86"
"May 15, 2020","22,516"
"May 16, 2020","23,777"
"May 17, 2020","26,47"
"May 18, 2020","24,091"
"May 19, 2020","26,282"
"May 20, 2020","26,36"
"May 21, 2020","25,912"
"May 22, 2020",
"May 23, 2020","15,19"
"May 24, 2020",
"May 25, 2020","15,89"
"May 26, 2020","20,26"
"May 27, 2020","16,83"
"May 28, 2020","22,409"
"May 29, 2020","24,531"
"May 30, 2020","23,35"
"May 31, 2020","25,149"
"Jun 1, 2020","23,15"
"Jun 2, 2020",
"Jun 3, 2020",
"Jun 4, 2020",
"Jun 5, 2020",
"Jun 6, 2020","17,353"
"Jun 7, 2020","19,95"
"Jun 8, 2020","21,976"
"Jun 9, 2020","25,529"
"Jun 10, 2020","22,07"
"Jun 11, 2020","26,85"
"Jun 12, 2020",
"Jun 13, 2020","26,281"
"Jun 14, 2020","22,36"
"Jun 15, 2020","22,33"
"Jun 16, 2020","24,48"
"Jun 17, 2020","22,801"
"Jun 18, 2020","15,99"
"Jun 19, 2020","22,27"
"Jun 20, 2020","26,283"
"Jun 21, 2020","26,83"
"Jun 22, 2020","26,59"
"Jun 23, 2020","24,153"
"Jun 24, 2020","18,152"
"Jun 25, 2020","22,47"
"Jun 26, 2020",
"Jun 27, 2020",
"Jun 28, 2020",
"Jun 29, 2020",
"Jun 30, 2020","21,784"
"Jul 1, 2020","15,199"
"Jul 2, 2020","16,759"
"Jul 3, 2020","16,83"
"Jul 4, 2020","21,35"
"Jul 5, 2020",
"Jul 6, 2020","20,29"
"Jul 7, 2020","24,81"
"Jul 8, 2020",
"Jul 9, 2020","11,99"
"Jul 10, 2020","19,73"
"Jul 11, 2020","25,469"
"Jul 12, 2020","24,33"
"Jul 13, 2020","27,65"
"Jul 14, 2020","22,41"
"Jul 15, 2020","23,209"
"Jul 16, 2020","22,469"
"Jul 17, 2020","24,708"
"Jul 18, 2020","27,781"
"Jul 19, 2020","24,639"
"Jul 20, 2020","27,207"
"Jul 21, 2020","20,03"
"Jul 22, 2020","28,414"
"Jul 23, 2020","29,202"
"Jul 24, 2020","27,471"
"Jul 25, 2020","22,144"
"Jul 26, 2020","20,517"
"Jul 27, 2020","21,912"
"Jul 28, 2020","25,638"
"Jul 29, 2020",
"Jul 30, 2020","16,79"
"Jul 31, 2020","23,208"
"Aug 1, 2020","26,67"
"Aug 2, 2020","25,3"
"Aug 3, 2020","27,969"
"Aug 4, 2020","25,26"
"Aug 5, 2020","28,029"
"Aug 6, 2020","25,201"
"Aug 7, 2020","29,089"
"Aug 8, 2020","28,523"
"Aug 9, 2020","29,211"
"Aug 10, 2020","31,347"
"Aug 11, 2020","30,089"
"Aug 12, 2020","27,35"
"Aug 13, 2020",
"Aug 14, 2020","27,778"
"Aug 15, 2020",
"Aug 16, 2020",
"Aug 17, 2020",
"Aug 18, 2020",
"Aug 19, 2020",
"Aug 20, 2020",
"Aug 21, 2020","15,49"
"Aug 22, 2020","17,142"
"Aug 23, 2020","23,469"
"Aug 24, 2020","26,353"
"Aug 25, 2020","26,467"
"Aug 26, 2020","28,71"
"Aug 27, 2020","30,278"
"Aug 28, 2020","33,847"
"Aug 29, 2020","30,53"
"Aug 30, 2020","36,281"
"Aug 31, 2020","28,031"
