DATA,TEMPERATURA
"Aug 12, 2018","26,907"
"Aug 13, 2018","23,865"
"Aug 14, 2018","29,27"
"Aug 15, 2018",
"Aug 16, 2018","17,03"
"Aug 17, 2018","19,75"
"Aug 18, 2018","27,78"
"Aug 19, 2018","29,704"
"Aug 20, 2018","29,412"
"Aug 21, 2018",
"Aug 22, 2018",
"Aug 23, 2018","25,02"
"Aug 24, 2018","25,45"
"Aug 25, 2018","25,656"
"Aug 26, 2018",
"Aug 27, 2018","27,143"
"Aug 28, 2018","27,279"
"Aug 29, 2018","30,966"
"Aug 30, 2018","34,093"
"Aug 31, 2018","31,475"
"Sep 1, 2018","29,941"
"Sep 2, 2018",
"Sep 3, 2018",
"Sep 4, 2018","20,917"
"Sep 5, 2018","25,783"
"Sep 6, 2018","29,276"
"Sep 7, 2018","29,783"
"Sep 8, 2018","34,677"
"Sep 9, 2018","30,214"
"Sep 10, 2018","33,093"
"Sep 11, 2018",
"Sep 12, 2018","30,091"
"Sep 13, 2018",
"Sep 14, 2018",
"Sep 15, 2018","21,15"
"Sep 16, 2018",
"Sep 17, 2018",
"Sep 18, 2018",
"Sep 19, 2018","31,304"
"Sep 20, 2018",
"Sep 21, 2018","27,531"
"Sep 22, 2018","33,148"
"Sep 23, 2018","33,413"
"Sep 24, 2018","37,557"
"Sep 25, 2018","32,522"
"Sep 26, 2018","35,291"
"Sep 27, 2018",
"Sep 28, 2018","24,207"
"Sep 29, 2018","25,69"
"Sep 30, 2018",
"Oct 1, 2018","29,529"
"Oct 2, 2018",
"Oct 3, 2018","34,216"
"Oct 4, 2018","22,51"
"Oct 5, 2018","26,69"
"Oct 6, 2018","26,51"
"Oct 7, 2018","31,65"
"Oct 8, 2018",
"Oct 9, 2018",
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018","19,65"
"Oct 13, 2018",
"Oct 14, 2018","29,477"
"Oct 15, 2018","23,195"
"Oct 16, 2018","25,13"
"Oct 17, 2018",
"Oct 18, 2018","30,202"
"Oct 19, 2018","27,03"
"Oct 20, 2018","22,204"
"Oct 21, 2018","30,052"
"Oct 22, 2018","29,768"
"Oct 23, 2018",
"Oct 24, 2018",
"Oct 25, 2018",
"Oct 26, 2018",
"Oct 27, 2018",
"Oct 28, 2018","33,846"
"Oct 29, 2018",
"Oct 30, 2018","33,799"
"Oct 31, 2018",
"Nov 1, 2018",
"Nov 2, 2018","28,283"
"Nov 3, 2018","31,28"
"Nov 3, 2018",
"Nov 5, 2018","23,466"
"Nov 6, 2018","29,311"
"Nov 7, 2018",
"Nov 8, 2018","32,708"
"Nov 9, 2018","28,43"
"Nov 10, 2018",
"Nov 11, 2018","33,953"
"Nov 12, 2018","32,353"
"Nov 13, 2018","33,939"
"Nov 14, 2018",
"Nov 15, 2018","31,693"
"Nov 16, 2018","27,684"
"Nov 17, 2018",
"Nov 18, 2018",
"Nov 19, 2018","24,299"
"Nov 20, 2018","33,535"
"Nov 21, 2018","28,417"
"Nov 22, 2018","27,99"
"Nov 23, 2018",
"Nov 24, 2018","25,52"
"Nov 25, 2018","31,705"
"Nov 26, 2018","30,15"
"Nov 27, 2018","33,465"
"Nov 28, 2018","25,69"
"Nov 29, 2018",
"Nov 30, 2018",
