system:time_start,LST_Day_1km
"Aug 20, 2019",19.99
"Aug 21, 2019",30.96
"Aug 22, 2019",27.716
"Aug 23, 2019",30.03
"Aug 24, 2019",29.719
"Aug 25, 2019",26.91
"Aug 26, 2019",30.844
"Aug 27, 2019",
"Aug 28, 2019",29.82
"Aug 29, 2019",
"Aug 30, 2019",
"Aug 31, 2019",34.679
"Sep 1, 2019",
"Sep 2, 2019",22.57
"Sep 3, 2019",
"Sep 4, 2019",29.653
"Sep 5, 2019",
"Sep 6, 2019",22.9
"Sep 7, 2019",
"Sep 8, 2019",33.568
"Sep 9, 2019",37.582
"Sep 10, 2019",32.81
"Sep 11, 2019",32.19
"Sep 12, 2019",33.204
"Sep 13, 2019",35.431
"Sep 14, 2019",
"Sep 15, 2019",34.914
"Sep 16, 2019",37.354
"Sep 17, 2019",40.299
"Sep 18, 2019",
"Sep 19, 2019",31.87
"Sep 20, 2019",
"Sep 21, 2019",
"Sep 22, 2019",31.285
"Sep 23, 2019",26.89
"Sep 24, 2019",29.53
"Sep 25, 2019",
"Sep 26, 2019",25.276
"Sep 27, 2019",32.778
"Sep 28, 2019",26.962
"Sep 29, 2019",35.571
"Sep 30, 2019",31.05
"Oct 1, 2019",38.06
"Oct 2, 2019",36.85
"Oct 3, 2019",
"Oct 4, 2019",33.033
"Oct 5, 2019",34.97
"Oct 6, 2019",
"Oct 7, 2019",
"Oct 8, 2019",30.07
"Oct 9, 2019",31.798
"Oct 10, 2019",37.668
"Oct 11, 2019",38.357
"Oct 12, 2019",42.943
"Oct 13, 2019",44.81
"Oct 14, 2019",41.09
"Oct 15, 2019",38.17
"Oct 16, 2019",
"Oct 17, 2019",
"Oct 18, 2019",
"Oct 19, 2019",35.06
"Oct 20, 2019",35.93
"Oct 21, 2019",
"Oct 22, 2019",28.146
"Oct 23, 2019",19.69
"Oct 24, 2019",39.84
"Oct 25, 2019",33.577
"Oct 26, 2019",31.898
"Oct 27, 2019",39.955
"Oct 28, 2019",
"Oct 29, 2019",33.852
"Oct 30, 2019",34.646
"Oct 31, 2019",40.323
"Nov 1, 2019",
"Nov 2, 2019",37.448
"Nov 3, 2019",
"Nov 4, 2019",41.417
"Nov 5, 2019",39.81
"Nov 6, 2019",
"Nov 7, 2019",
"Nov 8, 2019",
"Nov 9, 2019",36.197
"Nov 10, 2019",
"Nov 11, 2019",27.03
"Nov 12, 2019",37.93
"Nov 13, 2019",36.055
"Nov 14, 2019",
"Nov 15, 2019",25.33
"Nov 16, 2019",39.426
"Nov 17, 2019",31.19
"Nov 18, 2019",40.798
"Nov 19, 2019",36.441
"Nov 20, 2019",40.81
"Nov 21, 2019",40.064
"Nov 22, 2019",32.81
"Nov 23, 2019",37.69
"Nov 24, 2019",
"Nov 25, 2019",36.803
"Nov 26, 2019",
"Nov 27, 2019",
"Nov 28, 2019",
"Nov 29, 2019",33.591
"Nov 30, 2019",34.813
"Dec 1, 2019",
"Dec 2, 2019",33.41
"Dec 3, 2019",
"Dec 4, 2019",
"Dec 5, 2019",
"Dec 6, 2019",24.43
"Dec 7, 2019",37.032
"Dec 8, 2019",
"Dec 9, 2019",
"Dec 10, 2019",29.41
"Dec 11, 2019",
"Dec 12, 2019",
"Dec 13, 2019",31.316
"Dec 14, 2019",
"Dec 15, 2019",
"Dec 16, 2019",
"Dec 17, 2019",
"Dec 18, 2019",
"Dec 19, 2019",
"Dec 20, 2019",27.43
"Dec 21, 2019",
"Dec 22, 2019",
"Dec 23, 2019",30.656
"Dec 24, 2019",26.27
"Dec 25, 2019",35.273
"Dec 26, 2019",
"Dec 27, 2019",35.558
"Dec 28, 2019",
"Dec 29, 2019",37.449
"Dec 30, 2019",31.859
"Dec 31, 2019",33.978
